Company Name,Car Name,Variant,Fuel Type,Tyre Condition,Make Year,Owner Type,Registration Number,Mileage,Price,Transmission Type,Body Color,Service Record,Insurance,Registration Certificate,Accessories
Honda,Elantra,LE,Petrol,New,2016,Second,44-704-1672,102701,512711,Manual,Grey,Full Service History,No Current Insurance,Available,Leather Seats
Kia,Polo,RXE,CNG,Needs Replacement,2015,First,31-415-6382,189775,837946,Manual,White,Major Service at 66929 km,Valid Until [date],Not Available,"Music System, Alloy Wheels, Leather Seats"
Hyundai,Elantra,EX,Petrol,Used,2024,Second,83-923-7359,56335,212790,Automatic,Red,No Service Record,No Current Insurance,Not Available,"GPS, Leather Seats, Music System, Sunroof"
Ford,Accord,,Petrol,New,2024,Second,87-231-6139,176050,649268,Automatic (Tiptronic),Silver,Major Service at 127053 km,Valid Until [date],Not Available,
Volkswagen,F-150,SL,Petrol,New,2022,Third,44-867-3698,183007,477414,Automatic,Red,No Service Record,No Current Insurance,Available,"Music System, Alloy Wheels, Leather Seats"
Renault,Seltos,XL,Petrol,Used,2022,Third,97-119-7893,52675,778551,Automatic (Tiptronic),Silver,Major Service at 84242 km,Valid Until [date],Available,"Alloy Wheels, GPS, Music System"
Volkswagen,Sunny,XL,CNG,New,2018,Second,88-432-1473,52809,565267,Manual,Gold,No Service Record,Valid Until [date],Available,
Ford,Polo,,Diesel,Needs Replacement,2019,Second,59-837-2061,124211,742015,Automatic (Tiptronic),Red,Full Service History,No Current Insurance,Not Available,"Music System, Alloy Wheels, Sunroof"
Volkswagen,Accord,XL,Petrol,Needs Replacement,2020,Second,95-153-6797,194101,547651,Automatic,Gold,No Service Record,Valid Until [date],Not Available,Music System
Honda,Accord,SL,Diesel,Used,2023,Third,53-119-8394,172437,825256,Automatic (Tiptronic),White,No Service Record,No Current Insurance,Not Available,GPS
Toyota,Camry,GT,CNG,Used,2021,Third,93-831-1957,58032,772891,Automatic,Grey,Major Service at 56247 km,Valid Until [date],Not Available,Sunroof
Honda,F-150,RXE,CNG,Needs Replacement,2018,Third,15-899-8312,33302,442808,Manual,Gold,Full Service History,Valid Until [date],Available,"Alloy Wheels, Music System, Sunroof, GPS"
Volkswagen,Sunny,XL,CNG,Needs Replacement,2020,First,35-632-3003,117975,419685,Automatic,Black,Full Service History,Valid Until [date],Not Available,Leather Seats
Volkswagen,Elantra,,Petrol,Needs Replacement,2020,Second,86-865-5627,38775,386004,Automatic,Grey,Full Service History,Valid Until [date],Available,
Hyundai,Sunny,EX,Petrol,New,2019,Second,69-150-5598,46025,527376,Manual,Grey,No Service Record,No Current Insurance,Not Available,
Maruti Suzuki,F-150,Highline,CNG,New,2020,First,96-533-2831,13636,918001,Manual,Red,No Service Record,Valid Until [date],Available,
Kia,Swift,RXE,CNG,Needs Replacement,2017,First,28-116-5026,175579,261940,Manual,Grey,No Service Record,Valid Until [date],Not Available,Music System
Ford,Seltos,EX,CNG,Needs Replacement,2024,Third,45-211-7187,23580,671305,Automatic (Tiptronic),White,Major Service at 130320 km,No Current Insurance,Not Available,"Sunroof, GPS, Music System, Leather Seats"
Honda,Sunny,SL,Diesel,New,2019,First,30-638-4852,136043,891031,Automatic (Tiptronic),Gold,Major Service at 111891 km,No Current Insurance,Available,"Leather Seats, GPS"
Chevrolet,Seltos,XL,Diesel,Needs Replacement,2021,First,68-505-5225,193202,353059,Automatic,Grey,Major Service at 142838 km,No Current Insurance,Available,"Leather Seats, GPS"
Nissan,Elantra,GT,Diesel,New,2019,Third,34-652-9677,148558,447275,Automatic (Tiptronic),Gold,Major Service at 144631 km,Valid Until [date],Available,"Sunroof, Music System"
Volkswagen,Seltos,ZXI,Petrol,Needs Replacement,2022,Second,74-483-6720,24180,725407,Automatic,Grey,Full Service History,No Current Insurance,Available,"Music System, Sunroof"
Toyota,Cruze,LE,Diesel,Needs Replacement,2022,Third,73-948-1320,13472,566495,Automatic,Black,No Service Record,Valid Until [date],Available,"GPS, Sunroof, Music System"
Toyota,Camry,Highline,Petrol,New,2015,First,80-196-1230,17464,927888,Manual,Blue,Full Service History,No Current Insurance,Available,GPS
Toyota,Cruze,Highline,CNG,New,2022,Third,87-803-6752,12427,558084,Automatic,Gold,Full Service History,Valid Until [date],Not Available,"Leather Seats, GPS, Music System"
Renault,Polo,,CNG,Used,2023,Third,30-668-4549,153769,646429,Automatic,Maroon,Full Service History,No Current Insurance,Available,Leather Seats
Nissan,Elantra,XL,CNG,Used,2018,Second,42-739-2554,185150,599802,Automatic (Tiptronic),Grey,Major Service at 107351 km,Valid Until [date],Not Available,"Leather Seats, Sunroof, GPS"
Kia,Sunny,,Diesel,Used,2017,First,86-197-7043,198556,716891,Automatic,Blue,No Service Record,No Current Insurance,Not Available,"Sunroof, Music System, Alloy Wheels, GPS"
Hyundai,Accord,,Petrol,Used,2022,Third,59-275-6632,116856,890914,Manual,Grey,No Service Record,Valid Until [date],Not Available,"Sunroof, Alloy Wheels, Leather Seats, GPS"
Kia,Elantra,EX,CNG,Used,2018,Second,45-420-2586,184566,872862,Manual,Red,No Service Record,No Current Insurance,Available,"GPS, Leather Seats, Music System, Sunroof"
Nissan,Elantra,Highline,Diesel,Needs Replacement,2020,First,63-285-3411,14052,333362,Automatic (Tiptronic),Gold,Major Service at 144984 km,No Current Insurance,Available,
Chevrolet,Polo,ZXI,CNG,Used,2022,Third,86-447-4499,189689,599525,Automatic (Tiptronic),Blue,Full Service History,No Current Insurance,Not Available,
Honda,Kwid,LE,Diesel,Needs Replacement,2020,First,59-399-5330,130700,209682,Automatic (Tiptronic),Grey,Full Service History,No Current Insurance,Not Available,"GPS, Alloy Wheels, Music System"
Honda,Cruze,RXE,Petrol,New,2022,Third,25-560-2576,141144,468368,Automatic (Tiptronic),Silver,Major Service at 109855 km,No Current Insurance,Not Available,"Alloy Wheels, Music System, GPS"
Nissan,Accord,Highline,Petrol,New,2019,Third,19-373-4706,148501,926156,Automatic (Tiptronic),Gold,Major Service at 103355 km,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, GPS"
Nissan,Elantra,GT,Petrol,Used,2023,Third,68-244-9841,17728,969489,Manual,Blue,Major Service at 84026 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, Music System"
Maruti Suzuki,Swift,GT,Petrol,Used,2015,Third,45-978-6682,34297,314906,Manual,Black,Full Service History,No Current Insurance,Not Available,"Sunroof, Leather Seats, Alloy Wheels, GPS"
Kia,Kwid,,CNG,Needs Replacement,2017,Second,17-883-5727,37162,291598,Automatic,Blue,No Service Record,No Current Insurance,Not Available,"Alloy Wheels, Sunroof, GPS"
Kia,F-150,LE,Diesel,New,2023,Third,31-866-4876,80257,961848,Automatic (Tiptronic),Black,Major Service at 62971 km,Valid Until [date],Available,"Alloy Wheels, Sunroof"
Kia,Swift,SL,CNG,New,2016,Third,34-584-2231,167786,559015,Manual,Red,Major Service at 70175 km,No Current Insurance,Available,Leather Seats
Hyundai,Elantra,SL,CNG,Used,2015,Second,88-157-6816,167648,313157,Manual,White,Major Service at 126629 km,Valid Until [date],Not Available,
Honda,Kwid,Highline,Diesel,Needs Replacement,2016,First,80-286-5282,27907,927545,Automatic (Tiptronic),White,Full Service History,No Current Insurance,Available,Sunroof
Maruti Suzuki,Kwid,,Diesel,New,2015,Third,49-635-1862,39050,570254,Manual,Grey,Full Service History,Valid Until [date],Available,"Music System, GPS, Leather Seats, Sunroof"
Kia,Camry,SE,CNG,Used,2016,Third,71-480-2319,65528,397123,Manual,White,Full Service History,Valid Until [date],Not Available,Alloy Wheels
Ford,Seltos,EX,Diesel,Used,2022,Third,43-337-5212,81936,426306,Automatic (Tiptronic),Black,Full Service History,No Current Insurance,Not Available,Alloy Wheels
Nissan,Kwid,Highline,CNG,Needs Replacement,2020,First,92-940-5439,40843,993003,Automatic (Tiptronic),Maroon,No Service Record,Valid Until [date],Not Available,Alloy Wheels
Nissan,Kwid,XL,Petrol,New,2022,Second,15-646-4336,186769,450938,Manual,Red,Full Service History,Valid Until [date],Available,"GPS, Music System"
Renault,Seltos,,CNG,New,2021,First,30-917-4391,123070,668722,Automatic,White,Major Service at 62741 km,Valid Until [date],Available,
Ford,Sunny,LE,Petrol,Used,2016,Third,70-614-9885,161839,773716,Automatic (Tiptronic),Red,No Service Record,Valid Until [date],Available,Sunroof
Maruti Suzuki,Camry,GT,Diesel,Used,2023,Second,79-503-9727,76210,791620,Automatic,Silver,No Service Record,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Renault,Camry,Highline,Petrol,New,2017,Second,27-100-2155,108663,984225,Automatic,Maroon,Full Service History,Valid Until [date],Not Available,"GPS, Leather Seats, Alloy Wheels"
Honda,Polo,EX,CNG,New,2015,Third,32-848-7033,106364,289044,Manual,Grey,Full Service History,Valid Until [date],Not Available,"Alloy Wheels, Leather Seats, Sunroof"
Maruti Suzuki,Swift,RXE,Diesel,Needs Replacement,2019,Second,27-265-3760,48954,305171,Manual,Grey,No Service Record,No Current Insurance,Not Available,Leather Seats
Nissan,Camry,,Petrol,Needs Replacement,2015,Third,75-143-4418,89613,696753,Manual,Blue,No Service Record,Valid Until [date],Available,"Music System, Leather Seats"
Chevrolet,Seltos,,Petrol,New,2021,Second,31-396-4113,190308,991945,Automatic (Tiptronic),Blue,Full Service History,No Current Insurance,Available,"Leather Seats, GPS, Alloy Wheels, Music System"
Volkswagen,Camry,GT,Diesel,Needs Replacement,2018,Third,75-860-8547,52837,886573,Manual,Blue,Major Service at 143222 km,No Current Insurance,Available,
Hyundai,Sunny,RXE,Petrol,Used,2015,Second,35-243-2639,83115,684778,Automatic,White,Major Service at 73026 km,No Current Insurance,Not Available,"GPS, Sunroof, Music System"
Toyota,Accord,GT,CNG,Needs Replacement,2017,Third,69-656-6607,145946,689165,Automatic,White,No Service Record,Valid Until [date],Available,Music System
Renault,Accord,SL,CNG,Used,2017,Third,72-298-8777,81093,826632,Manual,Maroon,Major Service at 113899 km,Valid Until [date],Not Available,"Alloy Wheels, Music System, GPS"
Kia,Accord,SL,CNG,Needs Replacement,2023,First,42-633-6480,73597,206617,Manual,White,No Service Record,No Current Insurance,Available,"Alloy Wheels, Leather Seats"
Hyundai,Swift,GT,CNG,Used,2021,Second,91-791-9721,148652,760244,Manual,Red,Full Service History,Valid Until [date],Not Available,Alloy Wheels
Honda,Elantra,XL,Petrol,New,2022,First,74-236-6420,145489,488701,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Available,"Sunroof, Music System, GPS"
Maruti Suzuki,Cruze,XL,Petrol,New,2015,Second,34-723-6824,123346,590067,Automatic,Red,Major Service at 117513 km,No Current Insurance,Not Available,"Alloy Wheels, Music System"
Hyundai,Elantra,Highline,CNG,Needs Replacement,2016,First,32-626-9519,164606,450927,Manual,Gold,No Service Record,No Current Insurance,Not Available,"Sunroof, GPS, Music System, Leather Seats"
Nissan,Polo,SE,Petrol,Used,2022,Third,78-484-4522,14006,735676,Manual,Red,Major Service at 54899 km,Valid Until [date],Available,"Leather Seats, GPS, Music System, Sunroof"
Toyota,Camry,LE,Petrol,Needs Replacement,2017,Third,33-801-8057,14585,411217,Automatic,Grey,Major Service at 84744 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Ford,Seltos,Highline,CNG,Needs Replacement,2024,Third,86-865-4429,38234,922012,Automatic (Tiptronic),Maroon,No Service Record,No Current Insurance,Available,"Sunroof, Alloy Wheels, Leather Seats"
Renault,Polo,RXE,CNG,Used,2024,Second,68-791-5235,158923,943554,Automatic,Red,Major Service at 55387 km,No Current Insurance,Available,"Leather Seats, Music System, GPS"
Ford,Elantra,EX,Diesel,New,2019,First,20-822-4742,79703,300631,Automatic (Tiptronic),Blue,Major Service at 121925 km,Valid Until [date],Not Available,GPS
Kia,Elantra,EX,CNG,Needs Replacement,2019,First,46-872-6663,70388,257493,Manual,Black,Major Service at 85479 km,No Current Insurance,Not Available,"Music System, Leather Seats, GPS"
Toyota,Accord,EX,Petrol,Used,2020,Second,54-447-5978,67228,434657,Automatic (Tiptronic),Gold,No Service Record,No Current Insurance,Not Available,
Ford,Seltos,LE,CNG,Needs Replacement,2021,First,74-371-7443,124187,793995,Automatic,White,No Service Record,No Current Insurance,Available,
Kia,Swift,RXE,Diesel,Used,2021,Second,41-556-2451,133759,282558,Manual,Silver,Full Service History,No Current Insurance,Available,GPS
Renault,Seltos,GT,Diesel,Needs Replacement,2020,First,92-771-4470,166626,203794,Manual,Black,Major Service at 81441 km,Valid Until [date],Not Available,"Music System, Leather Seats, Sunroof, Alloy Wheels"
Nissan,Swift,RXE,CNG,Used,2024,First,41-684-2064,27442,934595,Automatic,Black,No Service Record,No Current Insurance,Not Available,"Sunroof, Leather Seats, GPS"
Kia,Camry,,Diesel,New,2023,Second,14-307-9735,195345,916353,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Available,"Alloy Wheels, Music System, Sunroof, GPS"
Toyota,Kwid,SL,CNG,New,2018,First,79-432-1628,45577,750001,Manual,Silver,No Service Record,No Current Insurance,Not Available,"Sunroof, GPS, Leather Seats"
Chevrolet,Swift,LE,Petrol,New,2016,Third,56-133-7231,64151,875254,Automatic,Red,Full Service History,Valid Until [date],Available,GPS
Maruti Suzuki,Swift,ZXI,Diesel,Needs Replacement,2022,Second,65-723-1270,66598,245367,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Not Available,"Leather Seats, Sunroof, Music System, Alloy Wheels"
Ford,Cruze,,Diesel,Needs Replacement,2015,Second,66-745-3337,23833,673516,Automatic (Tiptronic),Gold,Major Service at 149335 km,No Current Insurance,Available,"Leather Seats, Sunroof"
Nissan,Swift,ZXI,Diesel,New,2024,First,91-878-5137,46440,785018,Manual,Gold,Major Service at 77574 km,Valid Until [date],Not Available,"GPS, Alloy Wheels"
Toyota,Accord,XL,Petrol,New,2019,Third,19-149-9799,19064,976970,Manual,Grey,Major Service at 53718 km,Valid Until [date],Not Available,"Music System, Alloy Wheels, GPS, Sunroof"
Nissan,Seltos,EX,CNG,Needs Replacement,2019,Third,84-661-1477,60968,701517,Manual,Blue,Full Service History,No Current Insurance,Available,"Leather Seats, Alloy Wheels, Sunroof"
Hyundai,Sunny,GT,Petrol,New,2024,Second,50-226-2817,96722,965860,Automatic,White,Full Service History,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, Music System, Leather Seats"
Kia,F-150,EX,Petrol,Needs Replacement,2020,Third,40-338-4649,56065,410190,Manual,Red,Full Service History,Valid Until [date],Available,"Leather Seats, GPS, Music System"
Nissan,Cruze,ZXI,CNG,Needs Replacement,2024,Third,60-201-5488,46048,822272,Manual,Maroon,Full Service History,No Current Insurance,Available,"Music System, GPS"
Chevrolet,F-150,GT,Diesel,New,2022,Third,13-156-3704,47055,919402,Automatic,Grey,Full Service History,No Current Insurance,Not Available,"Music System, Leather Seats"
Renault,Elantra,Highline,Petrol,New,2024,Third,86-284-1481,171201,589513,Manual,Black,Major Service at 130671 km,No Current Insurance,Available,Sunroof
Toyota,Cruze,EX,CNG,Used,2020,First,20-238-7689,85232,289944,Automatic (Tiptronic),Black,Full Service History,No Current Insurance,Available,
Toyota,Polo,Highline,Petrol,Needs Replacement,2015,Third,25-149-3491,107451,466449,Automatic,Blue,Major Service at 52413 km,No Current Insurance,Not Available,
Kia,F-150,LE,Diesel,New,2020,Second,66-110-6024,29292,609764,Automatic (Tiptronic),Black,Major Service at 141849 km,No Current Insurance,Available,"Leather Seats, Alloy Wheels, Sunroof"
Maruti Suzuki,Kwid,XL,Petrol,Used,2024,Second,55-140-1842,50640,740266,Automatic,Silver,Major Service at 116121 km,Valid Until [date],Not Available,"Alloy Wheels, Leather Seats, Music System, GPS"
Kia,Accord,,Petrol,New,2015,Second,55-798-8696,185810,748030,Automatic (Tiptronic),Red,No Service Record,Valid Until [date],Available,
Chevrolet,Elantra,ZXI,Diesel,Needs Replacement,2020,Third,22-860-3014,63389,935139,Manual,Black,No Service Record,Valid Until [date],Not Available,
Ford,Camry,EX,Petrol,New,2021,First,24-228-6351,82553,724387,Automatic,Silver,No Service Record,Valid Until [date],Available,Alloy Wheels
Chevrolet,Kwid,,Petrol,Needs Replacement,2017,Third,98-629-3047,45699,818992,Automatic (Tiptronic),White,Major Service at 136851 km,No Current Insurance,Available,
Hyundai,Polo,GT,Petrol,Needs Replacement,2024,Third,41-807-7282,165399,928909,Automatic,Black,Major Service at 149533 km,Valid Until [date],Available,
Volkswagen,Camry,GT,CNG,New,2020,Third,31-234-6031,40377,727091,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,
Chevrolet,Accord,ZXI,CNG,New,2015,Third,76-233-3048,170219,406001,Automatic (Tiptronic),Blue,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, Sunroof, Music System, Leather Seats"
Volkswagen,Cruze,EX,Petrol,Needs Replacement,2018,Second,99-721-1907,107590,278310,Automatic,Red,Major Service at 86835 km,Valid Until [date],Not Available,"Leather Seats, Sunroof"
Hyundai,Kwid,SL,Diesel,Used,2018,Third,30-853-9186,191112,268874,Automatic (Tiptronic),Silver,Major Service at 78547 km,Valid Until [date],Not Available,"Leather Seats, Sunroof"
Honda,Polo,XL,Petrol,New,2020,Second,86-270-9164,107626,517610,Manual,Silver,Full Service History,No Current Insurance,Not Available,
Renault,Accord,XL,CNG,New,2017,Third,75-217-2938,101717,628920,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,"Leather Seats, Alloy Wheels"
Nissan,Accord,RXE,Diesel,New,2024,Third,17-420-2911,40863,763330,Automatic,White,Major Service at 115515 km,Valid Until [date],Not Available,
Chevrolet,Sunny,RXE,CNG,Used,2021,Second,55-884-6645,109216,795647,Manual,Black,No Service Record,Valid Until [date],Available,"Leather Seats, GPS"
Honda,Swift,XL,Diesel,Used,2017,First,27-296-4925,81173,625770,Automatic,Gold,No Service Record,No Current Insurance,Available,Alloy Wheels
Renault,Camry,GT,Diesel,New,2020,Second,90-985-9888,74582,348541,Automatic,Gold,Full Service History,Valid Until [date],Available,
Nissan,Cruze,RXE,Petrol,New,2018,Third,76-909-5519,102440,460192,Automatic (Tiptronic),Maroon,Full Service History,Valid Until [date],Available,Music System
Maruti Suzuki,Seltos,,Petrol,New,2017,Third,70-742-1465,137675,669660,Manual,Maroon,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, GPS, Leather Seats"
Toyota,Camry,GT,CNG,Needs Replacement,2024,First,19-958-7471,170389,736698,Automatic,Black,No Service Record,No Current Insurance,Not Available,"GPS, Alloy Wheels, Leather Seats, Music System"
Honda,Cruze,RXE,Diesel,Needs Replacement,2016,Second,65-995-3081,11646,938503,Automatic (Tiptronic),Maroon,Full Service History,No Current Insurance,Not Available,
Ford,Seltos,RXE,Diesel,Needs Replacement,2016,Third,25-960-1500,57198,392236,Automatic (Tiptronic),White,No Service Record,No Current Insurance,Available,"GPS, Music System, Sunroof, Alloy Wheels"
Maruti Suzuki,Elantra,SE,Petrol,Needs Replacement,2019,First,13-139-9961,181369,496222,Automatic (Tiptronic),Blue,Full Service History,Valid Until [date],Available,
Ford,Kwid,SL,Petrol,New,2024,Third,11-421-6871,94629,997921,Automatic,Silver,Full Service History,Valid Until [date],Available,
Volkswagen,Elantra,SE,CNG,Needs Replacement,2017,Third,30-993-6215,51973,918007,Automatic,White,No Service Record,No Current Insurance,Available,"Leather Seats, GPS, Music System"
Renault,F-150,SE,Petrol,Used,2016,Second,84-776-1186,39765,321965,Manual,Black,Major Service at 129871 km,No Current Insurance,Not Available,"Leather Seats, Music System, Alloy Wheels, GPS"
Volkswagen,Kwid,SE,CNG,New,2024,Second,14-410-1347,166864,544828,Manual,Grey,Major Service at 71470 km,No Current Insurance,Not Available,"Music System, Leather Seats"
Kia,Elantra,LE,CNG,Used,2021,Second,80-660-3018,78366,719456,Manual,Black,Full Service History,Valid Until [date],Available,
Maruti Suzuki,Swift,XL,CNG,New,2022,Second,97-957-6784,143261,483789,Automatic,Maroon,No Service Record,Valid Until [date],Not Available,Leather Seats
Volkswagen,Swift,RXE,Petrol,Needs Replacement,2017,Third,82-168-3430,95842,985060,Automatic (Tiptronic),Grey,Major Service at 146660 km,Valid Until [date],Not Available,"Music System, GPS, Alloy Wheels, Leather Seats"
Kia,Sunny,EX,Petrol,Needs Replacement,2019,Second,11-366-5682,131200,444859,Automatic (Tiptronic),Red,No Service Record,No Current Insurance,Available,"Music System, Alloy Wheels, Sunroof, Leather Seats"
Kia,Sunny,SL,Diesel,Used,2022,First,96-761-8285,130633,217927,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Available,"Leather Seats, Alloy Wheels, GPS, Sunroof"
Nissan,Swift,LE,Diesel,Needs Replacement,2019,Third,71-610-7189,60264,821413,Manual,Gold,Full Service History,Valid Until [date],Not Available,"GPS, Music System, Leather Seats, Sunroof"
Nissan,Elantra,SE,Petrol,Needs Replacement,2024,Second,56-867-5034,81819,677643,Automatic,Maroon,No Service Record,No Current Insurance,Available,Music System
Maruti Suzuki,Polo,RXE,Diesel,Needs Replacement,2022,First,69-353-3842,147096,286465,Manual,Grey,Full Service History,Valid Until [date],Not Available,GPS
Ford,Polo,LE,Diesel,Used,2021,First,65-891-2378,104745,608310,Manual,White,No Service Record,Valid Until [date],Not Available,"Alloy Wheels, Sunroof"
Chevrolet,F-150,RXE,CNG,Needs Replacement,2023,Second,12-335-2292,92237,619905,Automatic (Tiptronic),Blue,No Service Record,Valid Until [date],Available,"Alloy Wheels, Leather Seats"
Volkswagen,Swift,EX,CNG,New,2023,Third,48-392-5320,29008,815906,Automatic (Tiptronic),Black,Major Service at 144835 km,No Current Insurance,Not Available,"GPS, Leather Seats, Music System, Alloy Wheels"
Renault,Seltos,Highline,CNG,Used,2023,Second,42-130-6680,196546,578045,Manual,Blue,No Service Record,Valid Until [date],Available,
Renault,Accord,RXE,CNG,Used,2019,Third,39-847-4922,90321,296181,Manual,Grey,No Service Record,No Current Insurance,Available,
Kia,Swift,GT,Petrol,New,2017,First,23-483-5826,35699,467767,Automatic (Tiptronic),Gold,No Service Record,Valid Until [date],Not Available,GPS
Maruti Suzuki,F-150,Highline,CNG,New,2019,First,88-654-2156,117145,649487,Manual,White,No Service Record,No Current Insurance,Not Available,"Music System, Sunroof"
Chevrolet,Sunny,SL,CNG,Needs Replacement,2023,Third,93-997-2977,25948,572315,Manual,Black,Major Service at 99208 km,Valid Until [date],Not Available,
Kia,Seltos,GT,Petrol,Needs Replacement,2021,Second,74-808-8530,131288,220089,Automatic,Black,Full Service History,No Current Insurance,Not Available,"Sunroof, Alloy Wheels"
Renault,F-150,SL,Diesel,New,2017,Third,49-605-1549,139451,611011,Manual,Black,Major Service at 123474 km,Valid Until [date],Not Available,"Leather Seats, Music System, GPS"
Maruti Suzuki,Sunny,Highline,Diesel,Used,2024,Second,36-604-6005,69911,382250,Automatic,Maroon,Full Service History,No Current Insurance,Not Available,"Alloy Wheels, Sunroof, Music System, GPS"
Kia,Elantra,SL,Diesel,New,2020,Second,37-274-2691,120876,606490,Automatic,Silver,Major Service at 67303 km,Valid Until [date],Available,"Leather Seats, GPS, Sunroof"
Nissan,Camry,RXE,CNG,Used,2015,First,37-392-1225,89752,838320,Automatic,Grey,Full Service History,No Current Insurance,Available,"Alloy Wheels, Music System"
Honda,Polo,XL,Petrol,New,2020,First,83-411-3157,193991,641468,Manual,Red,Major Service at 129776 km,Valid Until [date],Not Available,"Leather Seats, Alloy Wheels"
Ford,Polo,RXE,CNG,Used,2015,First,46-536-2032,76329,759795,Manual,Grey,Full Service History,Valid Until [date],Not Available,Alloy Wheels
